,Shed,Concretehouse,Cementroad,Dirtroad,Reinforcedslope,Reinforcedscarp,Dam,Vegetablefield,Grassland,Dryland,Woodland,Bareland,Waterline,Ditch,Others
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_13/Area_13_2,40919,0,251944,0,0,0,0,1815505,1584194,26770,28091,123559,12491,74623,23766
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_13/Area_13_4,72680,123516,113351,0,0,0,0,383293,1212855,14815,978811,81979,13723,186363,15625
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_13/Area_13_1,121415,189064,321756,0,0,0,0,992055,771580,111413,967901,398419,20490,210009,107696
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_13/Area_13_3,44851,600692,323136,0,0,0,0,117037,253202,0,179495,109358,0,0,58606
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_8/Area_8_3,0,0,0,0,0,0,0,0,58051,0,907933,143843,13796,0,51384
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_8/Area_8_1,0,0,0,176334,0,0,0,755586,600510,0,221333,108084,0,126950,2715
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_8/Area_8_2,20777,41624,12957,0,0,0,0,950764,163694,158202,925154,27021,0,0,175
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_8/Area_8_4,0,0,0,12201,0,0,0,21687,230710,65569,892076,64623,11287,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_15/Area_15_1,65726,7131,0,0,0,0,0,0,446618,0,538867,64803,0,0,4573
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_15/Area_15_4,63120,374878,366562,0,0,0,0,0,300879,0,173507,8063,6151,56239,30749
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_15/Area_15_2,35892,5605,125780,0,0,0,0,163870,503106,0,303062,9604,16703,75981,21005
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_15/Area_15_3,1412208,102247,77855,0,0,0,0,447910,658987,15188,154019,161541,3006,107552,788906
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_16/Area_16_3,0,25893,0,0,0,0,0,575018,474230,9394,121532,61328,24901,103173,6674
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_16/Area_16_4,0,0,0,0,0,0,0,367403,360459,0,400427,66394,0,96980,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_16/Area_16_1,10545,1960,88856,0,0,0,0,185823,424664,30596,284546,130874,52495,0,14994
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_16/Area_16_2,27363,82589,35069,0,0,0,0,89881,282877,32788,593443,46481,2694,0,18395
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_10/Area_10_3,0,0,170002,0,0,0,0,1496526,417768,98236,594859,0,40166,266366,5000
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_10/Area_10_1,8677,24199,26830,0,0,0,0,1176419,309494,0,680523,0,0,0,34119
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_10/Area_10_4,67341,6730,154862,0,0,0,0,0,643858,0,28005,0,93709,454013,122694
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_10/Area_10_2,40199,0,0,0,0,0,0,150918,755580,40808,1298181,141294,0,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_3/Area_3_1,121694,511622,376968,0,0,0,0,0,689800,0,640791,109817,0,126497,106081
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_3/Area_3_2,44386,316465,388900,0,0,0,0,914301,270717,12991,142406,69870,0,297948,99317
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_3/Area_3_3,1421,0,75443,0,0,0,0,1295323,29729,0,297640,0,0,0,7703
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_3/Area_3_4,0,0,52367,0,0,0,0,2658213,532712,25666,0,0,51941,104754,140
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_12/Area_12_3,0,0,66621,0,0,0,0,1066585,506190,27403,144486,29328,0,92925,325
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_12/Area_12_2,449,0,75983,0,0,0,0,771026,483515,57967,81850,19366,0,87103,9284
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_12/Area_12_1,0,0,36282,0,0,0,0,1921765,418992,20502,0,0,0,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_12/Area_12_4,0,0,7357,0,0,0,0,666670,290099,18369,76166,6662,0,74514,906
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_5/Area_5_3,7948,15862,30297,0,0,0,0,231116,794388,33964,218163,95384,81987,65027,490
